epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.172639847,1.317020893,0.535824239,0.585047722
2,0.872019351,0.803849161,0.670183599,0.699104965
3,0.806414843,0.743694127,0.694425821,0.729666531
4,0.779884458,0.745374799,0.713092625,0.729955435
5,0.726856768,0.711498678,0.739502132,0.743712783
6,0.706397414,0.978750825,0.746861219,0.695854366
7,0.695793092,0.711868286,0.748189211,0.746410906
8,0.662845254,0.789650023,0.763303816,0.724302828
9,0.668049335,0.673271477,0.760427892,0.764649272
10,0.651801944,0.669027925,0.768755317,0.769015312
11,0.626050532,0.622644722,0.77810061,0.783325076
12,0.631941199,0.606318593,0.778916478,0.793967366
13,0.597429156,0.611982524,0.790788472,0.795252919
14,0.654333055,0.65721184,0.770337045,0.761506915
15,0.624673784,0.666097999,0.780345798,0.77434653
16,0.578556538,0.597862959,0.801582217,0.803582549
17,0.542961895,0.542380571,0.813112795,0.816255271
18,0.525563717,0.552842021,0.819321871,0.813147426
19,0.536018372,0.543556988,0.815199792,0.817537963
20,0.522215605,0.564045906,0.82017833,0.812991679
21,0.552749991,0.586001873,0.810719132,0.808008134
22,0.506434858,0.546069145,0.826448321,0.820709765
23,0.506166399,0.548508108,0.825925291,0.818024755
24,0.518635631,0.520180523,0.820856929,0.826519966
25,0.57923764,0.588045061,0.802047372,0.798668206
26,0.524185896,0.56399864,0.819523513,0.811087132
27,0.503196716,0.56206584,0.826023936,0.812876046
28,0.49534145,0.559641659,0.828806818,0.815461457
29,0.497243702,0.549290836,0.828763962,0.822085857
30,0.477698982,0.508065522,0.834091127,0.829180002
31,0.471276402,0.517049432,0.835693121,0.829944909
32,0.470464349,0.535108447,0.837138355,0.823901892
33,0.47306326,0.512009203,0.836454988,0.833323658
34,0.472737879,0.585196316,0.835292876,0.807769597
35,0.461436033,0.61815995,0.838828146,0.791846216
36,0.530363858,0.541110516,0.81830126,0.821825206
37,0.468829095,0.503242016,0.83647114,0.834216475
38,0.454146534,0.534367383,0.841433227,0.823906958
39,0.45737794,0.536744714,0.840320408,0.830902159
40,0.46460411,0.532307327,0.839365065,0.823055387
41,0.472563148,0.643110514,0.838115275,0.828709483
42,0.454855621,0.558551848,0.84154129,0.826226771
43,0.448431432,0.69673574,0.843620896,0.81277281
44,0.461721987,0.577335238,0.840257466,0.816440642
45,0.467423886,0.498687625,0.839465439,0.83237493
46,0.46113801,0.537855744,0.840899646,0.820556939
47,0.443751395,0.494654983,0.845058262,0.837694705
48,0.457336634,0.54004246,0.841088772,0.82852149
49,0.437925488,0.540340602,0.846932352,0.828998625
50,0.430443794,0.489205927,0.848614573,0.836454272
51,0.428799927,0.581607342,0.848411202,0.816352546
52,0.431154847,0.472796291,0.848275483,0.837739587
53,0.452202171,0.521616936,0.841789484,0.837423921
54,0.439140439,0.538408577,0.84677726,0.83254981
55,0.425409466,0.528297424,0.850435555,0.830842614
56,0.417654932,0.485935718,0.852475464,0.840339541
57,0.416025251,0.552636027,0.852421105,0.826909781
58,0.58674562,0.617451429,0.795862317,0.785381496
59,0.546345115,0.533152521,0.812611818,0.818267047
60,0.522573173,0.526865721,0.819949985,0.821949065
61,0.476109833,0.515348494,0.83556062,0.828703463
62,0.455747217,0.52612859,0.841613889,0.827893853
63,0.444586605,0.604860008,0.843918741,0.806907296
64,0.440415561,0.545045316,0.845152795,0.831709266
65,0.431229591,0.533581018,0.848043501,0.834721267
66,0.433824241,0.539534152,0.847798884,0.823207438
67,0.426362425,0.495601267,0.848848403,0.840829194
68,0.42820546,0.560772955,0.848635256,0.819562078
69,0.425248653,0.530633032,0.850125015,0.834479392
70,0.458518535,0.555358768,0.840594053,0.825942934
71,0.419735193,0.504194081,0.851902306,0.8315624
72,0.41868186,0.499791354,0.852297366,0.836712837
73,0.41784355,0.477685541,0.853099585,0.838851094
74,0.403966874,0.492890209,0.856450081,0.84564811
75,0.402339816,0.5478549,0.856830359,0.827574193
76,0.403432965,0.468789756,0.856034398,0.842090011
77,0.402083129,0.48568517,0.856934726,0.840491414
78,0.403327048,0.472070009,0.85579443,0.838850021
79,0.402928978,0.503785908,0.856227934,0.843573809
80,0.396123707,0.613859177,0.859562337,0.839370787
81,0.40004769,0.532443941,0.856459558,0.838057697
82,0.394640863,0.595598936,0.858805835,0.816425741
83,0.40156737,0.515606701,0.856244922,0.837199926
84,0.412978083,0.51174897,0.853675306,0.834703624
85,0.400099605,0.467806607,0.858164728,0.845314384
86,0.384513497,0.469251424,0.860903442,0.845795929
87,0.389401108,0.458279312,0.860341132,0.849398434
88,0.382058412,0.502104402,0.862645149,0.84217149
89,0.388887376,0.492654204,0.860735178,0.842739701
90,0.385238826,0.559768915,0.861737132,0.842363238
91,0.392947823,0.523745894,0.859263003,0.822467148
92,0.386759251,0.644067943,0.861125886,0.839291453
93,0.461932272,0.517322719,0.838328779,0.821543634
94,0.454113185,0.536538661,0.841198027,0.816975951
95,0.440158755,0.472074807,0.848255277,0.837118387
96,0.407452673,0.516908467,0.856783569,0.824516296
97,0.396806926,0.455996394,0.858375549,0.844358683
98,0.392619789,0.425932795,0.860337973,0.851007283
99,0.381848603,0.553441346,0.862414122,0.828671455
100,0.41591239,0.448621988,0.854797065,0.843566954
